source_english,reference_hindi,predicted_hindi
Bruce was born with a DSD that prevented his body from producing enough testosterone to properly develop his genitals.,"ब्रूस ने डी.एस.डी. के साथ जन्म लिया था, जिसने उसके शरीर को पर्याप्त मात्रा में टेस्टोस्टेरॉन बनाने से रोका, जिसके कारण उसके जननांग उचित तरीके से विकसित नहीं हो पाए।",ब्रूस एक डीएसडी के साथ पैदा हुआ था जो उसके शरीर को उसके जननांगों को ठीक से विकसित करने के लिए पर्याप्त टेस्टोस्टेरोन का उत्पादन करने से रोकता था.
"After learning the truth, he changed back to a man, taking testosterone shots and having his breasts removed.","सच्चाई जानने के पश्चात, वह वापस पुरुष बन गया, उसने टेस्टोस्टेरॉन की खुराक ली तथा अपने स्तन हटवा दिए।",सच जानने के बाद वह टेस्टोस्टेरोन की खुराक लेने और उसके स्तनों को हटाने के लिए एक आदमी में वापस बदल गया.
Surgery rendered him infertile.,शल्य-चिकित्सा के कारण वह बांझ हो गया।,शल्य चिकित्सा ने उसे बांझ बना दिया.
"Today, he advocates for others in an organization called the Interface Project, trying to normalize perceptions of those who are intersex.","आज, वह इन्टरफेस प्रोजेक्ट नामक संगठन में इंटरसेक्स व्यक्तियों के बारे में लोगों को अपनी धारणा सामान्य बनाने के लिए समझाता है।",आज. वह इंटरफेस प्रोजेक्ट नामक संगठन में दूसरों के लिए वकालत करता है. जो अंतरलिंगी लोगों की धारणाओं को सामान्य बनाने की कोशिश कर रहे हैं.
"But Anne Tamar-Mattis, executive director for California-based legal group Advocates for Informed Choice, worries that the German law ""invites labeling and stigma.""","लेकिन, कैलीफ़ोर्निया-आधारित के विधिक समूह एडवोकेट्स फॉर इन्फॉर्म्ड च्वाइस की अधिशासी निदेशक एनी टैमर-मैटिस चिंता व्यक्त करती हैं कि जर्मनी का कानून ""चिप्पी तथा कलंक आमंत्रित करता है।""","लेकिन कैलिफोर्निया स्थित कानूनी समूह एडवोकेट्स फॉर इन्फॉर्म्ड चॉइस के कार्यकारी निदेशक ऐनी तामार-मैटिस को चिंता है कि जर्मन कानून "" लेबलिंग और कलंक का आह्वान करता है. """
"""A lot of activists are concerned that what the German rule will do is encourage parents to make quick decisions and give the child an 'undetermined,'"" she said.","वे कहती हैं, ""बहुत से एक्टिविस्ट लोगों को लगता है कि जर्मनी का कानून माता-पिता को त्वरित निर्णय लेने तथा बच्चे को ""अनिर्धारित"" निर्दिष्ट करने के लिए प्रेरित करेगा।""",बहुत से कार्यकर्ता इस बात को लेकर चिंतित हैं कि जर्मन शासन माता- पिता को त्वरित निर्णय लेने के लिए प्रोत्साहित करेगा और बच्चे को एक'अनिश्चित'देने के लिए प्रोत्साहित करेगा.
We are afraid it will encourage intervention.,हमें डर है कि यह हस्तक्षेप को प्रोत्साहित करेगा।,हमें डर है कि यह हस्तक्षेप को प्रोत्साहित करेगा.
"We think a better process is assigning male or female sex, then waiting.","हमें लगता है कि प्रतीक्षा करने के बजाय, पुरुष या महिला लिंग निर्दिष्ट करना बेहतर प्रक्रिया है।",हमें लगता है कि एक बेहतर प्रक्रिया पुरुष या महिला लिंग निर्धारित करना है. फिर प्रतीक्षा करें.
"But we haven't seen how the law will play out, so all we can do is speculate.","लेकिन हम नहीं जानते हैं कि कानून किस तरह अपनी भूमिका निभाएगा, इसलिए हम मात्र अनुमान लगा सकते हैं।",लेकिन हमने यह नहीं देखा कि कानून कैसे काम करेगा
"Tamar-Mattis said that her organization supports the Australian law because ""it allows adults to choose to be recognized in a third gender.""","टैमर-मैटिस ने कहा कि उनका संगठन ऑस्ट्रेलियाई कानून का समर्थन इसलिए करता है क्योंकि ""यह वयस्कों को तीसरे लिंग में पहचाने जाने की अनुमति देता है।""",तामार-मैटिस ने कहा कि उनका संगठन ऑस्ट्रेलियाई कानून का समर्थन करता है क्योंकि यह वयस्कों को तीसरे लिंग में मान्यता प्राप्त करने का विकल्प चुनने की अनुमति देता है.
"""Adults should be able to make their own decisions about legal gender,"" she said.","उन्होंने कहा, ""विधिक लिंग के बारे में वयस्कों को अपना स्वयं का निर्णय लेने में सक्षम होना चाहिए।""",वयस्कों को कानूनी लिंग के बारे में अपने स्वयं के निर्णय लेने में सक्षम होना चाहिए.
German law is about assigning it at birth.,जर्मनी का कानून इसे जन्म के समय निर्दिष्ट करने से सम्बन्धित है।,जर्मन कानून इसे जन्म के समय निर्धारित करने के बारे में है.
That is not a battle young children should have to take up at this point.,यह इस समय पर नवजात बच्चों द्वारा लड़ी जाने वाली जंग नहीं है।,यह ऐसी लड़ाई नहीं है जिसे छोटे बच्चों को इस समय अपनाना चाहिए.
"When they are grown, they can make decisions about their own bodies.","बड़े होने पर, अपने शरीर से सम्बन्धित निर्णय वे स्वयं ले सकते हैं।",जब वे बड़े हो जाते हैं तो वे अपने शरीर के बारे में निर्णय ले सकते हैं.
"But Dr. Arlene Baratz, a Pittsburgh breast radiologist who has a daughter with a disorder of sexual development and helps hundreds of others in a support group, said the German law will ""empower"" both parents and children.","लेकिन पिट्सबर्ग की स्तन रेडियोलॉजिस्ट डॉ. एर्लीन बाराट्ज जिनकी बेटी को यौन विकास विकार है, तथा जो समर्थन समूह में सैकड़ों अन्य लोगों सहायता करती हैं, ने कहा कि जर्मनी का कानून माता-पिता तथा बच्चों दोनों को ""शक्ति प्रदान करेगा।""",लेकिन पिट्सबर्ग के स्तन रेडियोलॉजिस्ट डॉ आर्लीन बाराट्ज़ ने कहा कि जर्मन कानून माता- पिता और बच्चों दोनों को सशक्त बनाएगा.
"Baratz's daughter Katie was born with male chromosomes, but has a DSD called complete androgen insensitivity syndrome.","बाराट्जी की बेटी कैटी पुरुष गुणसूत्रों के साथ पैदा हुई थी, लेकिन उसे पूर्ण एन्ड्रोजन असंवेदनशीलता संलक्षण नामक डी.एस.डी. था।",बाराट्ज़ की बेटी केटी पुरुष गुणसूत्रों के साथ पैदा हुई थी. लेकिन उसे पूर्ण एंड्रोजन असंवेदनशीलता सिंड्रोम नामक डीएसडी है.
"Because her androgen receptors are faulty, Katie developed female characteristics.","चूंकि उसके एन्ड्रोजन ग्राही में दोष था, इसलिए कैटी में महिला अभिलक्षण विकसित हुए।",क्योंकि उसके एंड्रोजन रिसेप्टर्स दोषपूर्ण होते हैं. केटी ने स्त्री विशेषताओं को विकसित किया.
"She has a vagina, but no uterus or ovaries.",उसके शरीर में योनि तो है लेकिन गर्भाशय या डिंबग्रंथि नहीं है।,उसकी योनि है लेकिन गर्भाशय या अंडाशय नहीं है.
"Now at 29, Katie is married and at the University of Pennsylvania, a resident in child psychiatry.",अब 29 वर्षीय कैटी विवाहित है तथा पेनसिलवैनिया विश्वविद्यालय में बाल मनोविज्ञान विभाग में रेज़िडेंट है।,अब 29 साल की उम्र में @ केटी शादीशुदा है और यूनिवर्सिटी ऑफ़ पेन्सिलवेनिया में एक निवासी है जो बाल मनोचिकित्सा में है.
"Though she is infertile, she hopes to become a parent through adoption or gestational surrogacy.","यद्यपि कि वह बांझ है, लेकिन वह गोद लेने अथवा गेस्टेशनल सरोगेसी के माध्यम से माँ बनने की उम्मीद करती है।",वह बांझ है लेकिन गोद लेने या गर्भकालीन सरोगेसी के माध्यम से माता- पिता बनने की उम्मीद करती है.
"""The law gives parents some space not to have to rush into making decisions themselves,"" said Baratz.","बाराट्ज ने कहा, ""यह कानून माता-पिता को इस बात की सुविधा देता है कि वे जल्दबाजी में अपने आप कोई निर्णय न लें।""","बारात्ज़ ने कहाः "" कानून माता- पिता को कुछ जगह देता है कि उन्हें निर्णय लेने में जल्दबाजी न करनी पड़े. """
It gives them the time to do some tests and figure it out and a period of time before they write 'male' or 'female.',"यह उन्हें, ‘पुरुष’ या ‘महिला’ लिखने से पहले कुछ परीक्षण द्वारा उचित तरीके से समझने और समय प्रदान करता है।",यह उन्हें कुछ परीक्षण करने और यह पता लगाने के लिए समय देता है और इससे पहले कि वे पुरुष या महिला लिखें.
"This way, you are OK -- raise the child, love the child.","इस तरह, आप ठीक रहते हैं - बच्चे की परवरिश करें, बच्चे से प्यार करें।",इस तरह तुम ठीक हो- बच्चे की परवरिश करो- बच्चे से प्यार करो.
You have a wonderful baby and enjoy the fun.,आपके पास प्यारा बच्चा है और उसका मज़ा लें।,आप एक अद्भुत बच्चे है और मज़ा का आनंद लेते हैं.
We don't have to rush into surgery that is irreversible.,हमे जल्दबाजी में ऐसी शल्य-चिकित्सा नहीं करवाने की ज़रूरत नहीं है जिसे वापस नहीं किया जा सकता।,हमें जल्दबाजी में ऐसी सर्जरी करने की जरूरत नहीं है जो अपरिवर्तनीय हो.
"""It brings the children into the decision and takes away the anxiety that motivates parents because they don't feel they are doing the right thing,"" she said.","उन्होंने कहा, ""यह निर्णय लेने की प्रक्रिया में बच्चों को लाता है तथा माता-पिता को अभिप्रेरित करने वाली दुश्चिंता से मुक्त करता है क्योंकि वे यह नहीं मानते कि वे ठीक कर रहे हैं।""",""" यह बच्चों को निर्णय में लाता है और उस चिंता को दूर करता है जो माता- पिता को प्रेरित करती है क्योंकि उन्हें नहीं लगता कि वे सही काम कर रहे हैं. """
"Ultimately, the child will decide which sex he or she feels more comfortable with -- and that's a wonderful thing.","अंततः, बच्चा निर्धारित करेगा कि वह किस लिंग के साथ अधिक सहज है -- तथा यह बहुत अच्छी बात होगी।",अंततः बच्चा तय करेगा कि वह किस लिंग के साथ अधिक सहज महसूस करता है- और यह एक अद्भुत बात है.
It empowers children to make the decision for themselves.,यह बच्चों को अपने स्वयं के लिए निर्णय लेने में सक्षम बनाता है।,यह बच्चों को अपने लिए निर्णय लेने का अधिकार देता है.
"On behalf of the Ramnagar Tehsil Legal Services Committee and under the chairmanship of the committee chairman, Ramnagar Sub-Judge Sandip Kaur, a Legal Awareness Camp was organised at the Middle school, Dalher in Ramnagar.",तहसील लीगल सर्विसेज कमेटी रामनगर की ओर से कमेटी की चेयरमैन एवं रामनगर की सब जज संदीप कौर की अध्यक्षता में रामनगर के मिडिल स्कूल दलहेर में कानूनी जागरूकता शिविर आयोजित किया गया।,रामनगर तहसील विधि सेवा समिति की ओर से और समिति के अध्यक्ष रामनगर उप - न्यायाधीश संदीप कौर की अध्यक्षता में रामनगर के मिडिल स्कूल डलहर में विधि जागरूकता शिविर का आयोजन किया गया.
In this camp awareness was raised about the right to education and information for financially underprivileged people.,जिसमें विद्यार्थियों व अन्य लोगों को शिक्षा के अधिकार व आर्थिक रूप से पिछड़े लोगों के लिए कानून की जानकारी दी गई।,इस शिविर में आर्थिक रूप से वंचित लोगों के लिए शिक्षा और सूचना के अधिकार के बारे में जागरूकता बढ़ाई गई.
"Advocate M.L. Gupta, Rohin Bharadwaj and Sarpanch presented their views on the subject and gave lectures to the people in the camp.","शिविर में एडवोकेट एमएल गुप्ता, रोहिन भारद्वाज, व सरपंच ने उक्त विषय पर बोलते हुए लोगों को जागरूक किया।",अधिवक्ता एम. एल. गुप्ता. रोहिन भारद्वाज और पंच ने इस विषय पर अपने विचार प्रस्तुत किए और शिविर में लोगों को व्याख्यान दिए.
A large number of villagers attended the camp.,कार्यक्रम में बड़ी संख्या में गांववासी मौजूद थे।,शिविर में बड़ी संख्या में ग्रामीण उपस्थित थे.
Report: Obama campaign considered dumping Biden for Hillary Clinton,रिपोर्टः हिलेरी क्लिंटन के लिए बिडेन डंपिंग ओबामा अभियान पर विचार ।,रिपोर्टः ओबामा अभियान ने हिलेरी क्लिंटन के लिए बाइडन को हटाने पर विचार किया
"President Barack Obama's closest advisers secretly considered replacing Vice President Joe Biden with Hillary Clinton on the 2012 ticket, according to the New York Times.",न्यूयॉर्क टाइम्स के अनुसार राष्ट्रपति बराक ओबामा के करीबी सलाहकारों ने चुपके से उपराष्ट्रपति पद केलिए बिडेन की जगह पर हिलेरी क्लिंटन पर विचार किया टिकट 2012 के लिए ।,न्यूयॉर्क टाइम्स के अनुसार राष्ट्रपति बराक ओबामा के करीबी सलाहकारों ने गुप्त रूप से 2012 के टिकट पर उपराष्ट्रपति जो बाइडन को हिलेरी क्लिंटन के साथ बदलने पर विचार किया.
"The revelation is the most notable bombshell from Mark Halperin and John Heilemann's heavily anticipated 2012 campaign tome, ""Double Down: Game Change 2012.""","रहस्योद्घाटन मे सबसे उल्लेखनीय धमाका है की मार्क हलपेरीन और जॉन हेलेमंन द्वारा भारी प्रत्याशित 2012 अभियान टोम, ""डबल डाउन :  खेल बदलें 2012.""",यह रहस्योद्घाटन मार्क हैल्पेरिन और जॉन हेइलमैन के बहुप्रत्याशित 2012 के अभियान टॉमी से सबसे उल्लेखनीय विस्फोट है.
"The Times obtained a copy of the forthcoming book and reported Thursday evening that the President's top aides conducted ""extensive group-sessions and polling in late 2011"" to gauge whether the dumping Biden could help bolster Obama's waning re-election hopes.","टाइम्स ने आगामी पुस्तक की एक प्रति प्राप्त की और गुरुवार शाम बताया कि राष्ट्रपति के शीर्ष सलाहकारों ""व्यापक समूह-सत्रों और देर 2011 में पोलिंग"" आयोजित किया जानने के लिए के ओबामा की फिर से चुनाव की गिरती उम्मीद मे क्या डंपिंग बिडेन मदद कर सकता है ।",द टाइम्स ने आगामी पुस्तक की एक प्रति प्राप्त की और गुरुवार शाम को बताया कि राष्ट्रपति के शीर्ष सहयोगियों ने 2011 के अंत में व्यापक समूह - सत्रों और मतदान का संचालन किया ताकि यह अनुमान लगाया जा सके कि क्या बाइडन की डंपिंग ओबामा की घटती हुई पुनः चुनाव की आशाओं को मजबूत करने में मदद कर सकती है.
"According to the Times' national political correspondent Jonathan Martin, the book provides a thorough account of the effort by senior officials inside the campaign and the White House, namely former White House Chief of Staff Bill Daley, to measure what effect swapping former Secretary of State Clinton for the Vice President would have in the polls.","टाइम्स राष्ट्रीय राजनीतिक संवाददाता जोनाथन मार्टिन के अनुसार किताब पूरी जानकारी बताती है मुख्य अधिकारियो के अभियान मे प्रयास की और वाइट हाउस, नाम के लिए पूर्व वाइट हाउस स्टाफ के प्रमुख बिल डाले, यह जानने के लिए की पूर्व  राज्य की सेक्रेटरी क्लिंटन का वाइस प्रेसीडेंट से बदलाव पोल पर क्या प्रभाव करता है ।",टाइम्स के राष्ट्रीय राजनीतिक संवाददाता जोनाथन मार्टिन के अनुसार इस पुस्तक में अभियान और व्हाइट हाउस के वरिष्ठ अधिकारियों अर्थात् व्हाइट हाउस के पूर्व चीफ ऑफ स्टाफ बिल डेली द्वारा यह मापने के लिए किए गए प्रयासों का विस्तृत विवरण दिया गया है कि उप राष्ट्रपति के लिए पूर्व विदेश मंत्री क्लिंटन की अदला - बदली का चुनावों में क्या प्रभाव पड़ेगा.
The potential switch was a closely guarded secret within the Chicago campaign infrastructure and inside the Oval Office.,संभावित स्विच एक बहुत सुरक्षित रहस्य था शिकागो अभियान के बुनियादी ढांचे के भीतर और ओवल ऑफिस के अंदर ।,संभावित स्विच शिकागो अभियान बुनियादी ढांचे के भीतर और ओवल कार्यालय के अंदर एक गुप्त गुप्त था.
"Only half a dozen of the President's closest advisers -- including Daley, former Obama campaign chief Jim Messina, and former White House senior advisers David Axelrod and David Plouffe -- knew the change was under consideration.","केवल आधा दर्जन राष्ट्रपति के करीबी सलाहकार – डाले सहित, पूर्व ओबामा अभियान प्रमुख जिम मैसिना, और पूर्व व्हाइट हाउस वरिष्ठ सलाहकारों डेविड आक्सलरॉड और डेविड पलौूफफे - के परिवर्तन विचाराधीन था पता था।",राष्ट्रपति के निकटतम सलाहकारों में से केवल आधा दर्जन को ही पता था कि परिवर्तन पर विचार किया जा रहा है.
"""Double Down"" claims Daley spearheaded the effort to replace Biden, despite their ""close personal rapport,"" before ultimately deciding against the move when their data showed adding Clinton to the ticket wouldn't ""materially improve Obama's odds.""","""डबल डाउन"" दावा करते है की डाले ने बिडेन को बदलने का प्रयास किया उनके व्यक्तिगत तालमेल के बावजूद  अंततः निर्णय लेने से पहले जब उनकी जानकारी बता रही थी की क्लिंटन के टिकेट से ओबामा के हालात में सुधार नही होगा ।",डबल डाउन का दावा है कि डेली ने अपने करीबी व्यक्तिगत संबंधों के बावजूद बाइडन को प्रतिस्थापित करने के प्रयास का नेतृत्व किया और अंततः इस कदम के खिलाफ निर्णय लिया जब उनके आंकड़ों से पता चलता है कि टिकट में क्लिंटन को शामिल करने से ओबामा की बाधाओं में कोई सुधार नहीं होगा.
"In an interview with Martin, Daley confirmed that the administration did in fact consider replacing Biden with Clinton.","मार्टिन के साथ एक साक्षात्कार में, डाले ने पुष्टि की है कि प्रशासन वास्तव में बिडेन के साथ क्लिंटन की जगह पर विचार किया था।",मार्टिन के साथ एक साक्षात्कार में. डेली ने पुष्टि की कि प्रशासन ने वास्तव में बाइडन की जगह क्लिंटन को नियुक्त करने पर विचार किया था.
"""I was vocal about looking into a whole bunch of things, and this was one of them,"" Daley told the paper.","""मेने पूरे दृश्य को नज़र मे रखते हुए कहा, और उनमें से एक, यह था"" डाले ने समाचार पत्र से कहा।","डेली ने अखबार को बतायाः "" मैं चीजों के पूरे समूह को देखने के बारे में मुखर था. और यह उनमें से एक था. """
"You have to remember, at that point the President was in awful shape, so we were like, ""Holy Christ, what do we do?""","तुम्हें याद है, कि उस समय  राष्ट्रपति पद ख़तरे मे था तो हम इस  तरह की स्तिथि मे थे की, ""पवित्र मसीह, हम  और क्या करेंगे?""",आपको याद रखना होगा कि उस समय राष्ट्रपति की हालत बहुत खराब थी तो हम इस तरह थे कि हम क्या करते हैं
"While Daley characterized the research as ""due diligence,"" Martin told CNN's Anderson Cooper that the re-election campaign made a significant investment in finding out whether the move would pay dividends at the polls.","जबकि डाले ने रिसर्च को"" सावधानी"" के रूप में बताया , मार्टिन ने CNN के एंडरसन कूपर को बताया था की फिर से चुनाव अभियान ने महत्वपूर्ण निवेश किया यह ढूँढने मे की यह दाव कितना लाभांश देगा पोल होने पर।","जबकि डेली ने शोध को "" उचित परिश्रम के रूप में वर्णित किया। "" मार्टिन ने सीएनएन के एंडरसन कूपर को बताया कि पुनः निर्वाचन अभियान ने यह पता लगाने में एक महत्वपूर्ण निवेश किया कि क्या इस कदम से चुनावों में लाभांश का भुगतान होगा."
"""Campaigns don't spend the kind of money on polling and focus groups unless they're seriously considering something,"" Martin said on AC360.",""" अभियान पैसो की तरह  मतदान और ध्यान केंद्रित समूहों पर नहीं खर्च करते जब तक कि वे गंभीरता से कुछ पर विचार कर रहे हैं,"" मार्टिन ने एसी360 पर कहा।",""" अभियान मतदान और फोकस समूहों पर उस तरह का पैसा खर्च नहीं करते जब तक कि वे किसी बात पर गंभीरता से विचार न करें. """
"It's unclear, however, whether Obama knew his team was exploring the swap.","यह अस्पष्ट है, हालाकी, क्या ओबामा जानते थे की उनकी टीम बदलाव  ढूँढ  रही है।",हालांकि यह स्पष्ट नहीं है कि क्या ओबामा को पता था कि उनकी टीम अदला बदली की तलाश कर रही थी.
Martin told CNN that he asked Daley whether his then-boss knew about the potential shuffle.,मार्टिन ने सीएनएन को बताया कि उन्होने डाले से पूछा क्या उनके बॉस को संभावित फेरबदल के बारे में पता था?,मार्टिन ने सीएनएन को बताया कि उन्होंने डेली से पूछा कि क्या उनके तत्कालीन बॉस को संभावित फेरबदल के बारे में पता था.
"While Daley said he doesn't think the President ""was aware"" of the potential change, the former chief of staff admitted that it's ""possible"" Obama knew.","जबकि डाले ने कहा कि उन्हे"" नही लगता की राष्ट्रपति को संभावित परिवर्तन के बारे में पता था"" ,पूर्व चीफ ऑफ स्टाफ ने माना की यह  ""संभव है"" कि यह ओबामा को पता था ।",जबकि डेली ने कहा कि उन्हें नहीं लगता कि राष्ट्रपति को संभावित परिवर्तन के बारे में पता था. पूर्व चीफ ऑफ स्टाफ ने स्वीकार किया कि ओबामा को पता था कि यह संभव है.
"Martin added that ""Double Down"" does not definitively answer whether the political probing reached Obama's desk.","""डबल डाउन"" निश्चितः उत्तर नहीं देगी की क्या राजनीतिक जांच कर ओबामा की डेस्क पर पहुची? मार्टिन  ने और बताया।",मार्टिन ने आगे कहा कि डबल डाउन निश्चित रूप से जवाब नहीं देता है कि क्या राजनीतिक जांच ओबामा के डेस्क पर पहुंच गई.
Cooper asked Martin whether he seriously thought Obama did not know about the research into dumping Biden from the ticket.,कूपर ने मार्टिन से पूछा कि क्या उन्होंने गंभीरता से सोचा की  ओबामा बिडेन डंपिंग टिकट अनुसंधान के बारे में पता नहीं था।,कूपर ने मार्टिन से पूछा कि क्या उन्हें गंभीरता से लगता है कि ओबामा को टिकट से बाइडन को हटाने के शोध के बारे में पता नहीं था.
"""Possibly,"" Martin replied.","""संभवतः,"" मार्टिन ने कहा।",""" शायद. "" मार्टिन ने जवाब दिया."
Fancy a glow-in-the-dark ice cream?,ग्लो- इन- दी- डार्क आइस क्रीम पसंद है?,एक चमक- इन-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-द-
A British entrepreneur has created the world's first glow-in-the-dark ice cream - using jellyfish.,एक ब्रिटिश उद्यमी ने दुनिया की सबसे पहले ग्लो- इन- दी- डार्क आइस क्रीम - जेलिफ़िश का उपयोग कर बनाया है।,एक ब्रिटिश उद्यमी ने जेलीफिश का उपयोग करके दुनिया की पहली ग्लो-इन-द-द-दर आईस्क्रीम बनाई है.
Charlie Francis has harnessed the fluorescent properties of the marine animal to develop the luminescent snack.,चार्ली फ्रांसिस ने बेहतरीन नाश्ते का विकास करने के लिए समुद्री जानवर के भरपूर फायदा उठाया है।,चार्ली फ्रांसिस ने लुमिनेसेंट नाश्ते को विकसित करने के लिए समुद्री पशु के फ्लोरोसेंट गुणों का उपयोग किया है.
He came up with the idea after reading a research paper on jellyfish and convinced scientists in China to chemically recreate the glowing protein.,उसे यह विचार जेलिफ़िश पर एक शोध पत्र पढ़ने के बाद आया  और चीन के आश्वस्त वैज्ञानिकों ने रासायनिक चमक का उपयोग को प्रोटीन को पुनः चमकाने पर किया.,जेलीफिश पर एक शोध पत्र पढ़ने के बाद उन्हें यह विचार आया और उन्होंने चीन के वैज्ञानिकों को चमकते हुए प्रोटीन को रासायनिक रूप से फिर से बनाने के लिए आश्वस्त किया.
The ice cream reacts with the eater's tongue - raising the pH level in the protein and making it glow.,"आइस क्रीम, खानेवाले कि जीभ के साथ प्रतिक्रिया करके प्रोटीन का पीएच स्तर बढ़ा देंगे और आइसक्रीम चमक जाएगी.",आइसक्रीम खाने वाले की जीभ के साथ प्रतिक्रिया करती है-प्रोटिन में पीएच स्तर को बढ़ाती है और इसे चमकाती है.
"Chris says because the ice cream lights up when it reacts with the heat of the mouth it means the more you lick, the brighter it becomes.","क्रिस कहते हैं कि आइसक्रीम मुंह की गर्मी से प्रतिक्रिया करने के साथ प्रज्ज्वलित होती है , अर्थात जीतना ज़्यादा चाटोगे, उतना ज़्यादा यह प्रज्ज्वलित होगी.",क्रिस का कहना है कि आइसक्रीम जब मुँह की गर्मी के साथ प्रतिक्रिया करती है तो वह चमक उठती है इसका मतलब है कि आप जितनी अधिक चाटते हैं वह उतनी ही चमकीली हो जाती है.
"Charlie, founder of the ""Lick Me I'm Delicious"" ice cream company, said: ""It is incredible stuff but still at very early days in terms of production, so £200 gets you about 2g of the stuff.""","लिक मी आई एम डेलिसियस आइसक्रीम कंपनी के संस्थापक चार्ली ने कहाः ""यह अविश्वसनीय चीज़ है पर शुरुआती दिनों के उत्पादन me £200 से लगभग २ ग्राम सामान मिलेगा"".","आइस्क्रीम कंपनी के संस्थापक चार्ली ने कहाः "" यह अविश्वसनीय चीज है लेकिन उत्पादन के मामले में अभी भी बहुत शुरुआती दिनों में है"
The protein we are using in the ice cream reacts with your tongue at neutral pH.,जो प्रोटीन हम आइसक्रीम मे इस्तेमाल कर रहे है वह जीभ मे न्यूट्रल पीएच के साथ प्रतिक्रिया करेगी.,आइस्क्रीम में हम जिस प्रोटीन का उपयोग कर रहे हैं वह आपकी जीभ के साथ तटस्थ पीएच पर प्रतिक्रिया करता है.
So as your mouth warms up the protein it will raise the pH level and the ice cream will glow.,जैसे ही  मुँह गर्म होता है  प्रोटीन पीएच स्तर बढ़ा देंगे और आइसक्रीम चमक जाएगी।,इसलिए जैसे ही आपका मुंह प्रोटीन को गर्म करेगा यह पीएच स्तर को बढ़ा देगा और आइसक्रीम चमक जाएगी.
We have been testing it out over the past few months and it seemed perfect to share it over Halloween because it gives that wonderful glow effect.,हम पिछले कुछ महीनों से परीख्रण कर रहे है और इसे हेलोवीन पर साझा करने के लिए एकदम सही लग रहा  है  क्योंकि यह अद्भुत चमक प्रभाव देता है,हम पिछले कुछ महीनों से इसका परीक्षण कर रहे हैं और इसे हैलोवीन पर साझा करने के लिए यह एकदम सही लग रहा था क्योंकि यह वह अद्भुत चमक प्रभाव देता है.
It is probably the most expensive ice cream I have made because the jellyfish luminescence is four times more expensive than gold.,यह शायद सबसे महंगी आइसक्रीम होगी जो मेने बनाई है क्योंकि जेलिफ़िश की चमक सोने से चार गुना अधिक महंगी है,यह शायद सबसे महंगी आइसक्रीम है जो मैंने बनाई है क्योंकि जेलीफ़िश लुमिनेसेंस सोने की तुलना में चार गुना अधिक महंगी है.
So each scoop costs me around £140.,तो प्रत्येक स्कूप की लागत मुझे आती है 140 पाउंड के आसपास ।,इसलिए प्रत्येक स्कूप की कीमत मेरे लिए लगभग £140 है.
